Municipio,Total 2010,Menor de 15 años ,15 a 19 años,20 a 39 años,40 años y más,No Especificado,Total 2011,Menor de 15 años ,15 a 19 años,20 a 39 años,40 años y más,No Especificado,Total 2012,Menor de 15 años ,15 a 19 años,20 a 39 años,40 años y más,No Especificado,Total 2013,Menor de 15 años ,15 a 19 años,20 a 39 años,40 años y más,No Especificado,Total 2014,Menor de 15 años ,15 a 19 años,20 a 39 años,40 años y más,No Especificado,Total 2015,Menor de 15 años ,15 a 19 años,20 a 39 años,40 años y más,No Especificado,Total 2016,Menor de 15 años ,15 a 19 años,20 a 39 años,40 años y más,No Especificado,Total 2017,Menor de 15 años ,15 a 19 años,20 a 39 años,40 años y más,No Especificado
Techaluta de Montenegro,97,0,12,78,1,6,85,0,12,66,1,6,90,1,12,75,0,2,62,0,10,49,2,1,71,0,10,57,1,3,81,0,16,63,1,1,87,0,11,73,1,2,81,0,7,68,3,3
Tenamaxtlán,131,0,18,99,5,9,165,0,27,128,3,7,103,0,11,87,1,4,140,0,21,112,4,3,110,0,14,90,6,0,107,1,21,79,3,3,116,0,20,91,3,2,129,0,14,102,6,7
Teocaltiche,913,3,116,754,26,14,892,1,124,722,29,16,934,0,135,756,27,16,845,1,126,677,31,10,807,0,111,667,25,4,829,0,114,684,26,5,767,2,144,583,27,11,788,9,108,635,26,10
Teocuitatlán de Corona,198,0,38,150,3,7,180,0,18,145,7,10,190,1,31,143,7,8,192,1,22,156,7,6,194,0,33,152,4,5,186,0,31,141,9,5,175,0,20,149,1,5,157,0,23,121,5,8
Tepatitlán de Morelos,3314,0,430,2752,97,35,3174,2,379,2692,73,28,3183,5,416,2643,101,18,3181,4,394,2680,84,19,3194,3,404,2672,99,16,2984,2,354,2520,95,13,3140,5,399,2652,76,8,3474,31,395,2855,97,96
Tequila,997,1,175,774,23,24,993,2,169,773,27,22,1016,2,159,808,29,18,982,6,156,780,19,21,894,0,140,719,24,11,881,2,144,697,31,7,947,0,151,763,24,9,959,6,167,752,28,6
Teuchitlán,177,0,29,145,2,1,191,0,32,156,1,2,186,0,31,150,2,3,172,0,31,132,4,5,172,0,32,137,2,1,158,0,28,119,5,6,157,0,26,125,1,5,165,1,22,134,3,5
Tizapán el Alto,562,2,99,425,13,23,551,1,90,353,14,93,496,0,85,393,10,8,466,3,96,341,16,10,441,1,87,335,10,8,414,2,82,308,7,15,425,3,86,316,11,9,427,1,82,328,13,3
Tlajomulco de Zúñiga,7487,23,1256,6041,125,42,8134,28,1400,6486,150,70,9210,33,1660,7294,185,38,9408,38,1776,7367,177,50,9734,48,1846,7599,184,57,10013,24,1841,7924,192,32,10290,45,1996,8037,171,41,10867,37,2220,8336,231,43
Tlaquepaque,15112,63,3023,11485,277,264,15421,52,3046,11789,232,302,15016,63,3014,11399,262,278,14493,65,2967,10895,251,315,14635,52,2911,10948,280,444,13904,43,2571,10591,289,410,13681,47,2508,10480,257,389,13099,69,2448,10029,247,306
Tolimán,230,0,27,190,3,10,220,0,40,175,2,3,223,1,40,176,4,2,277,0,56,211,3,7,241,3,39,189,4,6,211,0,34,170,1,6,170,0,38,128,2,2,196,0,48,147,0,1
Tomatlán,951,3,202,686,27,33,897,4,181,665,24,23,837,4,178,625,11,19,750,6,156,553,13,22,804,8,172,581,15,28,727,6,155,536,12,18,648,2,139,480,11,16,713,8,128,543,17,17
Tonalá,9038,27,1707,7039,153,112,9890,22,2070,7529,156,113,9506,31,1904,7300,161,110,9858,45,2047,7534,175,57,10290,32,2132,7810,185,131,9757,22,1913,7589,170,63,8939,28,1808,6895,163,45,9100,38,1837,6982,189,54
Tonaya,54,0,4,45,1,4,43,0,4,36,1,2,44,0,7,34,2,1,41,0,8,33,0,0,43,0,4,37,2,0,44,0,5,37,1,1,40,0,6,34,0,0,58,1,7,44,2,4
Tonila,175,0,36,131,4,4,164,0,28,123,5,8,133,1,27,102,3,0,123,2,27,88,2,4,131,0,20,107,1,3,127,1,28,96,2,0,110,0,22,87,1,0,114,0,11,100,1,2
Totatiche,66,1,12,47,1,5,67,0,11,56,0,0,79,0,16,60,0,3,68,0,14,52,2,0,89,0,9,71,6,3,65,0,12,49,3,1,69,0,5,62,2,0,69,0,3,63,2,1
Tototlán,528,4,70,419,19,16,431,0,70,342,7,12,522,3,87,416,12,4,485,2,101,357,12,13,473,1,102,352,9,9,454,1,92,341,15,5,479,2,89,373,9,6,496,6,76,390,13,11
Tuxcacuesco,89,0,8,80,0,1,93,0,12,78,0,3,85,0,9,69,4,3,104,0,20,82,1,1,89,0,12,72,2,3,121,0,13,106,1,1,78,0,11,62,3,2,118,1,18,96,1,2
Tuxcueca,179,0,27,146,3,3,154,1,23,118,4,8,158,0,25,128,4,1,147,1,20,123,2,1,143,0,28,110,5,0,145,3,23,117,2,0,137,0,25,111,1,0,143,0,32,107,2,2
Tuxpan,776,3,138,604,10,21,845,1,71,389,7,377,819,4,135,661,12,7,737,1,140,575,15,6,741,2,117,609,11,2,644,1,109,515,12,7,647,1,103,513,23,7,639,2,94,526,12,5
Unión de San Antonio,393,1,68,312,5,7,369,0,57,286,10,16,381,1,58,307,10,5,367,0,58,290,15,4,381,1,52,317,5,6,347,4,46,278,13,6,393,0,54,325,14,0,397,1,56,321,13,6
Unión de Tula,306,3,57,217,6,23,276,0,49,211,7,9,262,0,38,214,7,3,274,1,36,229,7,1,231,1,27,197,3,3,257,0,40,205,6,6,215,0,34,172,3,6,291,2,36,231,11,11
Valle de Guadalupe,157,0,16,131,4,6,124,1,18,100,3,2,152,0,14,133,5,0,154,0,28,121,5,0,137,0,22,112,2,1,153,0,20,127,4,2,126,0,20,103,3,0,153,2,17,123,4,7
Valle de Juárez,133,0,13,110,2,8,115,0,17,85,3,10,117,0,21,85,7,4,92,1,13,75,2,1,82,0,8,69,4,1,96,1,16,75,3,1,80,0,10,68,2,0,124,2,18,92,3,9
San Gabriel,348,2,49,280,12,5,361,0,49,291,9,12,347,0,62,275,7,3,350,0,72,263,11,4,348,0,58,275,12,3,341,3,49,268,10,11,267,0,32,229,5,1,362,3,57,293,7,2
Villa Corona,385,1,66,300,4,14,454,1,78,343,10,22,397,0,66,314,12,5,393,1,63,311,12,6,361,1,66,285,7,2,374,1,67,296,6,4,340,4,61,263,6,6,340,7,62,258,10,3
Villa Guerrero,159,1,36,116,2,4,147,0,25,110,9,3,155,0,31,113,7,4,125,0,17,98,2,8,147,2,23,115,3,4,127,0,23,98,5,1,117,0,17,96,3,1,124,1,15,97,7,4
Villa Hidalgo,413,1,56,339,16,1,421,1,53,345,22,0,412,0,79,316,17,0,381,1,36,337,7,0,386,1,37,340,8,0,397,0,54,332,10,1,373,1,44,317,11,0,396,4,47,329,13,3
Cañadas de Obregón,74,1,11,54,3,5,83,0,13,64,4,2,89,0,9,72,4,4,87,0,14,66,2,5,79,0,5,66,2,6,80,0,11,64,3,2,76,1,12,59,2,2,74,1,14,52,6,1
